MAJLIS MINYAK SAWIT MALAYSIA,581.959 MAJ,NUKILAN UNGGULSDN BHD,MALAYSIA,2022,48,9789670743882,-,-,-,-,-
HERMAWAN KARTAJAYA,658.8 HER,WILEY,CANADA,2017,184,9781119341208,-,-,-,-,-
THORIK GUNARA,270 THO,SYNERGY MEDIA,-,-,154,9789673713271,-,-,-,-,-
ROBERT W.PALMATIER,658.8 ROB,ROUTLEDGE,NEW YORK,2020,373,9780367262099,-,-,-,-,-
ROBERT W.PALMATIER,658.8 ROB,TAYLOR & FRANCIS,NEW YORK,2020,373,9781138593930,-,-,-,-,-
ROBERT W. PALMATIER,658.8 ROB,ROUTLEDGE,NEW YORK,2020,373,9780367262099,-,-,-,-,-
ROSMIMAH MOHD ROSLIN,658.8 ROS,-,-,-,-,9789833850631,-,-,-,-,-
BERT ROSENBLOOM,658.8 BER,SOUTH WESTERN,-,-,660,9780538477604,-,-,-,-,-
PHILIP KOTLER,641.3 PHI,PEARSON,-,2017,680,9781292156156,-,-,-,-,-
KOTLER KELLER,658 KOT,PEARSON,-,-,136,9781292092621,-,-,-,-,-
YUSNIZA KAMARULZAMAN,658.8 YUS,OXFORD,-,-,443,9789834715311,-,-,-,-,-
KOTLER KELLER,658.8 KOT,PEARSON,-,-,136,9781292092621,-,-,-,-,-
YUSNIZA KAMARULZAMAN,658.8 YUS,PXFORD,-,-,443,9789834715311,-,-,-,-,-
KOTLER KELLER,658.8 KOT,GLOBAL EDITION,-,-,136,2111292092623,-,-,-,-,-
PHILIP KOTLER,658.8 PHI,PEARSON EDUCATION LIMITED,UNITED KINGDOM,2022,605,9781292404813,-,-,-,-,-
DONALD R. COOPER,658.83 DON,MC GRAW HILL,-,-,790,-,-,-,-,-,-
NARESH K. MALHOTRA,658.8 NAR,PEARSON,-,-,929,9780136094234,-,-,-,-,-
NARESH K. MALHOTRA,658.8 NAR,PEARSON,-,-,929,9780136094234,-,-,-,-,-
HARIS AMIR JAIS,641.3 HAR,UTUSAN PUBLICATIONS,-,2011,75,9789676124401,-,-,-,-,-
HAMIDAH ASARARUDDIN,641.3 HAM,UTUSAN PUBLICATIONS,-,2014,80,9789676127112,-,-,-,-,-
DR.MOHD RUSHDAN BIN MD.NOR,618 DR.,GOLDEN BOOKS CENTRE SDN BHD,MALAYSIA,2008,223,9789837205963,-,-,-,-,-
ZAMRI TALIB,959.51 ZAM,SASBADI SDN.BHD,MALAYSIA,-,416,9789837732728,-,-,-,-,-
ZAMRI TALIB,959.51 ZAM,SASBADI,MALAYSIA,-,416,9789837732728,-,-,-,-,-
ZAMRI TALIB,959.51 ZAM,SASBADI SDN.BHD,MALAYSIA,-,416,9789837732728,-,-,-,-,-
ZAMRI TALIB,959.51 ZAM,SASBADI SDN.BHD,MALAYSIA,-,416,9789837732728,-,-,-,-,-
ZAMRI TALIB,959.51 ZAM,SASBADI SDN.BHD,MALAYSIA,-,416,9789837732728,-,-,-,-,-
ROSNANI RIFIN,297 ROS,PNI NEURON(M) SDN. BHD,"PUCHONG, SELANGOR",2010,184,9789831939109,-,-,-,-,-
JUNAIDAH SALEHUDIN,499.28  JU,PNI NEURON,-,-,200,9789831937815,-,-,-,-,-
IBRAHIM ZEID,606.8 IBR,MC GRAW HILL,-,-,962,-,-,-,-,-,-
THE CULINARY INSTITUTE OF AMERICA,641.3 THE,WILEY,-,2016,1116,9780470928653,-,-,-,-,-
JOANNE EVELYN & KAREN,420 JOA,JN COORAY,-,-,60,9789832020608,-,-,-,-,-
WAN MAIZURA WAN MAHMUD,929.7598 WAN,PUSTAKA CAHAYA INTELEK,-,-,52,9789833656233,-,-,-,-,-
ABDUL LATIF TALIB,899.233 ARE,PTS,KUALA LUMPUR,2011,366,9789833892426,-,-,-,-,-
AHMAD KAMAL ABDULLAH,899.232 AHM,DEWAN BAHASA DAN PUSTAKA,-,-,154,9789834610043,-,-,-,-,-
AHMAD KAMAL ABDULLAH,899.232 AHM,DEWAN BAHASA DAN PUSTAKA,-,-,154,9789834610043,-,-,-,-,-
YOONG KWEE SOON,510 YOO,SASBADI,-,-,434,9789835909740,-,-,-,-,-
TAN JEK KIN,511 CHA,TUNAS ILMU,-,-,292,-,-,-,-,-,-
